COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
ABODI;ANDREA;07/03/1960;ROMA;RM;31/12/2030;MINISTERO PER LO SPORT E I GIOVANI;MINISTRO
ACQUAROLI;FRANCESCO;25/09/1974;MACERATA;MC;31/12/2030;REGIONE MARCHE;PRESIDENTE
AIELLO ;DAVIDE ;31/10/1985;PALERMO;PA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALBANO;LUCIA;11/02/1965;SAN BENEDETTO DEL TRONTO;AP;31/12/2030;Ministero dell'Economia e delle Finanze;SOTTOSEGRETARIO DI STATO
ALBANO;LUCIA;11/02/1965;SAN BENEDETTO DEL TRONTO;AP;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALBERTI CASELLATI;ELISABETTA;12/08/1946;ROVIGO;RO;31/12/2030;MINISTERO PER LE RIFORME ISTITUZIONALI E LA SEMPLIFICAZIONE NORMATIVA;MINISTRO
ALBERTI CASELLATI;MARIA ELISABETTA;12/08/1946;ROVIGO;RO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ALFIERI;ALESSANDRO;02/02/1972;VARESE;VA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
ALIFANO;ENRICA;31/01/1967;CASERTA;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALMICI;CRISTINA;26/06/1969;BRESCIA;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
ALOISIO;VINCENZA;15/12/1946;MURO LUCANO;PZ;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
AMATO;GAETANO;05/06/1957;CASTELLAMMARE DI STABIA;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMBROGIO;PAOLA;02/12/1970;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
AMBROSI;ALESSIA;14/04/1982;NEGRAR;VR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
AMENDOLA;VINCENZO;22/12/1973;NAPOLI;NA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
